id,item_group_id,title,description,link,image_link,price,availability,condition,google_product_category,product_type,additional_image_link,sale_price,brand,gender,age_group,size,size_type,shipping,custom_label_0,adwords_redirect
shopify_US_7469088899325_42098516754685,,Beautiful Flowers Pillow Cover Latch Hook Rug Kit Daisy,"Get hooked with a super fun craft! Beautiful Flowers Pillow Cover Latch Hook Rug Kit is perfect for fun at almost any age! The easy-to-read chart and legend, along with basic latch hook instructions, will guide you along as you work your way through this exciting craft. EASY TO FOLLOW - The color pre-printed pattern design, non-slip canvas, and English instructions. It's easy to follow. The canvas clearly shows each tiny square and the color yarn to use. MATERIAL - Highly detailed designs and high-quality rug yarn make it easy to crochet. Rug yarn in bright colors is made from high-quality acrylic fiber. FEATURES - Great crafts give you an opportunity to do handwork together with your children. Creating colorful works of art is entertaining and fun. It’s the perfect activity for travel, and you can take it with you anywhere. MULTI-FUNCTION - This DIY project has multiple purposes and can be used to decorate many household items. Place it on the floor, wall, or sofa, or use it to make pillows and seat cushions. DIMENSIONS - The length and width are both 16.93 inches. Color pre-printed pattern design, non-slip canvas, enough different colors, short yarns, latch hook, color card, English instructions.",https://www.grabie.cc/products/beautiful-flowers-pillow-cover-latch-hook-rug-kit?variant=42098516754685&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/17857386591_2116461133.jpg?v=1638162439,38.99 USD,in stock,new,7096,Crafts & Hobbies,"https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN018hvmPu1V6g3MEtkZP__2208679182604-0-cib.jpg?v=1638162444,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01qlVcxm1V6g3OIHuxe__2208679182604-0-cib.jpg?v=1638162444",26.99 USD,Grabie,,,,,,,
shopify_US_7126804267160_41323613028504,,"10 Pcs Synthetic Hair Paint Brush Set | Paint Brush Set Includes a Carrying Case, Synthetic Hair Brushes for Oil, Watercolor and Gouache Painting,","To bring up fresh inspiration, we selected 10 different shaped and sized brushes as a set. For different usage scenarios, we have 4 sets of brushes which are watercolor brushes, oil paint brushes, gouache brushes, and acrylic brushes. The paintbrush set could meet all your painting needs including from detailed painting to largest coat applications, every stroke will come to life. DOUBLE-CRIMPED FERRULES - Made of superior aluminum with a heavier glue used on where wood and bristles meet, so the ferrules won't get loose easily. We used 4 different high-quality materials to meet different painting needs. ERGONOMIC DESIGN - The short ergonomic birch handles are easy to hold for detailed work and outstanding results without wiggling. The 3 layers of coating and the heavy glue on the head of wood make it perfect for soaking in water for more than 48 hours. After finishing your work, you can easily just put them in the sink and wash them whenever you want. PORTABLE BAG & WIDE APPLICATION - Zipper design, smooth and easy to open and close. Easy to take on the inner mesh, protect the brush from wear and tear. Breathable waterproof fabric, so you don't have trouble getting wet. The brush set could be applied to oil, ink, watercolor, gouache, acrylic, hand-painted, wall painting, etc.",https://www.grabie.cc/products/10-pcs-synthetic-hair-paint-brush-set?variant=41323613028504&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01k3YGR11iEXsdX1Was__1030774381-0-cib.jpg?v=1638159864,32.99 USD,in stock,new,18,Art Supplies,"https://cdn.shopify.com/s/files/1/0575/3323/5352/products/H8fe88635948a4ac7ab292d92ec9ba008v.jpg?v=1638159866,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01UFeqkY1iEXscUfvaq__1030774381-0-cib.jpg?v=1638159867,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01hroWHv1iEXsWjrqX1__1030774381-0-cib.jpg?v=1638159867,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01eudOGr1iEXsW7Aefu__1030774381-0-cib.jpg?v=1638159868,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01QNOthG1iEXsZ9aKFX__1030774381-0-cib.jpg?v=1638159869,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01wVcvKq1iEXsWjm8q0__1030774381-0-cib.jpg?v=1638159869",25.99 USD,Grabie,,,,,,,
shopify_US_7478056648957_42124740034813,,Garden Series Embroidery Kit Set With Wooden Pedestal Yearning,"Our embroidery starter kit is designed with a unique pre-printed cloth, which will provide great help to the starter. The pattern is made of special soluble ink, allowing you to wash it off easily after you finish your project, but note, please do not touch with water before finishing, otherwise the pattern will disappear. VALUE PACKAGE - 1pc cotton fabric with flower pattern, 1pc 4.72 inches beech hoop, 1 set soft embroidery threads, embroidery needles, 1pc instruction, and 1 pc beech pedestal. CLASSICAL ORNAMENTS - After finishing the embroidery, the embroidery pattern can be framed in the round plastic embroidery hoop, hanging in the living room or bedroom, as an interior decoration. FRIENDLY TO BEGINNERS - Come with Instructions, easy to guide the pattern. It will be funny to teach your kids when you finish the first one. MEANINGFUL GIFT - A nice package and appropriate gift for your families and friends. Finished DIY embroidery is really a meaningful and special present. Notice: The pattern is made of special ink, meet the water will disappear, do not touch the water before finishing.",https://www.grabie.cc/products/garden-series-embroidery-kit-set-with-wooden-pedestal?variant=42124740034813&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01Q9s4d81pJJF6RMgQ1__6000000005339-0-cib.jpg?v=1638342607,28.99 USD,in stock,new,7096,Crafts & Hobbies,"https://cdn.shopify.com/s/files/1/0575/3323/5352/products/20519155902_617299387.jpg?v=1638342607,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/20600633732_617299387.jpg?v=1638342607,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/20600624208_617299387.jpg?v=1638342607,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/20600591917_617299387.jpg?v=1638342607,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/20600636907_617299387.jpg?v=1638342607,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/20445102069_617299387.jpg?v=1638342607",22.99 USD,Grabie,,,,,,,
shopify_US_7469014581501_42098231673085,,Pets Paradise Counted Felting Kits Shar Pei,"Needle felting is a good way to increase relationships between children and parents or relieve stress from work and study. Using this felting kit you will get an unexpected perfect experience. VALUE WOOL FELT KIT - The wool felting kits come with a product box, including making a material bag, 1 x foam pad, 1 x instruction, 1 x bag of threads, 3 x felting needles. ECO-FRIENDLY WOOL ROVING - We choose top-quality natural wool without lumps and random junk, safe and eco-friendly for everybody use. With easy steps instructions, it also can be used as a wonderful children's day product for your kids or your friend's child. EASY TO ORGANIZE & CARRY - All felting supplies are packaged in a storage product case, easy to organize and carry. With the wool felt mat and fingercot, you don't worry about finger injured, especially suitable for beginners. EASY TO USE - 1 character can be created in about 3-5 hours, and 3 different dog characters can be created with this felting tool kit, which is easy to operate and easy to use. THE PERFECT GIFT - The cute wool felt doll is a perfect gift for children, and can also be used as a parent-child activity to enhance the feelings between family members. This unique DIY activity will stimulate children's imagination and stimulate their creativity.",https://www.grabie.cc/products/pets-paradise-counted-felting-kits?variant=42098231673085&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/3178139846_960314041.jpg?v=1638163829,22.99 USD,in stock,new,4986,Crafts & Hobbies,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/2_eb0bae19-6ac8-4b80-a2f5-c81bfb41fca9.jpg?v=1638163837,18.99 USD,Grabie,,,,,,,
shopify_US_6858715431064_40359764197528,,Deluxe 48 Colors Watercolor Paint Set,"Our watercolor kit features 48 captivating watercolor colors. With a wide variety of just about every color in the rainbow, you will find it easy to create colorful and creative works of art. This deluxe watercolor kit comes complete with 48 watercolor paint colors, 1 water brush pen, 1 paintbrush, 1 pencil, 1 sponge, 1 watercolor pad, 1 tube of white watercolor pigment, and 2 color cards. Lovers of painting will feel right at home with this set! QUICK DRYING - Display your art right away or dab water to soften them up to retouch. ARTIST ESSENTIALS - This set has a higher grade of permanence, intensity, and superior transparency. Water-based colors that dissolve and blend easily, ideal for artists, students, and teachers, and craftsmen. DURABLE, TIN BOX - The durable and attractive tin box will keep everything in order and protects paints, and double as a palette for mixing. STELLAR EFFECTS - Splatter, mix, blend, layer, and bleed for dramatic impressions. IDEAL FOR GIFTS - With the combination of quality assurance and the sleek design of this product, this set would be the ideal upgrade or perfect gift for any artist.",https://www.grabie.cc/products/48-colors-watercolor-paint-set?variant=40359764197528&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/1_4b22fc66-ca58-43e5-8cb3-0ef4ade42808.jpg?v=1640847054,35.99 USD,in stock,new,505417,Art Supplies,"https://cdn.shopify.com/s/files/1/0575/3323/5352/products/11_9ff2f153-4f35-4333-901e-df72a7d68d23.jpg?v=1640847054,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/2_759d67e5-eb08-4baa-87eb-14065b16dfe1.jpg?v=1640847054,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/4_a07045ad-4ab9-47a5-944f-4931675c0790.jpg?v=1640847054,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/7_c7df238e-765d-472e-9361-54c95fc44308.jpg?v=1640847054,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/5_908c6a7b-39ff-474f-bf43-02d47be3d586.jpg?v=1640847054,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/1_99b709c3-f79c-4012-a728-f8b13a21fce8.jpg?v=1640847054,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/3.jpg?v=1640847054",23.99 USD,Grabie,,,,,,,
shopify_US_7478570221821_42128318759165,,Butterfly Latch Hook Rug Kit Yellow Butterfly,"Spend a little downtime creating a gorgeous, small but stylish rug with this Butterfly Latch Hook Rug Kit! The easy-to-read chart and legend, along with basic latch hook instructions, will guide you along as you work your way through this exciting craft. EASY TO FOLLOW - The color pre-printed pattern design, non-slip canvas, and English instructions. It's easy to follow. The canvas clearly shows each tiny square and the color yarn to use. MATERIAL - Highly detailed designs and high-quality rug yarn make it easy to crochet. Rug yarn in bright colors is made from high-quality acrylic fiber. FEATURES - Great crafts give you an opportunity to do handwork together with your children. Creating colorful works of art is entertaining and fun. It’s the perfect activity for travel, and you can take it with you anywhere. MULTI-FUNCTION - This DIY project has multiple purposes and can be used to decorate many household items. Place it on the floor, wall, or sofa, or use it to make cushions and mats. DIMENSIONS - The length is 20.4 inches and the width is 14.9 inches. We've provided you with all of the tools you need to create plush textured mini-rugs. With a printed canvas, instructions, yarn, and a crochet hook, you can get started right away!",https://www.grabie.cc/products/butterfly-latch-hook-rug-kit?variant=42128318759165&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/19624526130_2116461133.jpg?v=1638263756,27.99 USD,in stock,new,7096,Crafts & Hobbies,"https://cdn.shopify.com/s/files/1/0575/3323/5352/products/61fWxzkW0BL._AC_SL1001.jpg?v=1638263756,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/61xi1Z71xML._AC_SL1001.jpg?v=1638263756,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/61zK3duIwvL._AC_SL1001.jpg?v=1638263774",,Grabie,,,,,,,
shopify_US_7504150495485_42199612752125,shopify_US_7504150495485,10 Sheet Acrylic Painting Pad A3,"No matter what your artistic level is, this acrylic painting paper is suitable for beginners and pros alike! Start your painting journey & enrich your art supplies with this acrylic painting paper! EASY REMOVABLE PAGES - Super easy to use thanks to its removable pages. You can practice and throw away the pages you don’t like, you can also give your favorite artwork to your favorite people by removing them from the pad! ACID-FREE PAPER - This acrylic painting and drawing pad is acid-free, this allows your work to last over time without fading. The colors remain vibrant and strong, you can preserve them as long as you want! Give your art to your favorite people and they will last forever! PERFECT MATCH - The large sketch pad is ideal acrylic paper for painting with a wide variety of acrylic paints. You can use for example your favorite Grabie Acrylic Paint on it and create the most beautiful work of art!",https://www.grabie.cc/products/10-sheet-acrylic-painting-pad?variant=42199612752125&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/13072189447_580045787.jpg?v=1639480907,19.99 USD,in stock,new,0,Art Supplies,"https://cdn.shopify.com/s/files/1/0575/3323/5352/products/ia_100000017.jpg?v=1639480907,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/ia_100000018.jpg?v=1639480907,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/22071297658_580045787.jpg?v=1639480907,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/22151692350_580045787.jpg?v=1639480907,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/A4.jpg?v=1639480904",,Grabie,,,,,,,
shopify_US_7069351248024_41115852767384,,"30 Colors Portrait Tones Dual Head Art Markers | 30 Colors Skin Tone Markers Dual Tip Marker Set, Alcohol Based Art Markers Artist Permanent Sketch","Develop your artistry with 30 high-quality, ever blend ultra art markers in portrait tones, which are perfect for expanding your art marker collection. Both novices and professionals will enjoy using these versatile tools to sketch, draw, color, design, and hand-letter. Each dual-sided marker includes a wide chisel tip for coloring in large areas and a fine tip for details. VARIETY OF PORTRAIT TONES - 30 highly pigmented skin tone markers that are perfect for sketches, manga, comics, portraits, and more. ERGONOMIC GRIP - The triangular shape allows you to create comfort and keeps your marker from rolling off your work area. SAFE & NON-TOXIC - These permanent alcohol-based markers are non-toxic and suitable for both beginners and professional artists.",https://www.grabie.cc/products/30-pcs-portrait-tones-everblend-art-markers?variant=41115852767384&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/4B8A5438.jpg?v=1638161377,23.99 USD,in stock,new,980,Art Supplies,"https://cdn.shopify.com/s/files/1/0575/3323/5352/products/4_93b9926a-b4a3-4ba7-87e8-c6931ae9fc64.jpg?v=1638161379,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/6_0f8b9772-1c7e-4196-9e78-19f891f376ad.jpg?v=1638161380,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/5_0e73e638-fda0-46ed-b46b-8fd8917b932a.jpg?v=1638161380,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01jhj5IY2LqnwqgWAK5__2211385139744-0-cib.jpg?v=1638161382,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN019goK4L2LqnwqgROyF__2211385139744-0-cib.jpg?v=1638161383,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/8_32ea5ac4-e03d-444c-b7a1-49b78afafb56.jpg?v=1638161383,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01mtH05X2LqnwvEyOO1__2211385139744-0-cib.jpg?v=1638161385,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/2021-10-12_8.17.16.png?v=1638161385,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/20211230-105116_dac1c602-719b-4605-bb5f-3b0856b3eb5a.jpg?v=1640833253",,Grabie,,,,,,,
shopify_US_7474923241725_42110813307133,,Christmas Socks DIY Latch Hook Rug Kit Dream House,"It is Christmas socks DIY latch hook rug kit that needs to be finished by yourself – just loop, hook and pull. It will be a great family project to create and develop your crafting skills! SUPER EASY CRAFTING - Simple illustrations are attached to our packaging. You can follow these steps to complete your wonderful masterpiece. The craft requires no particular skill or technique, so everyone can have a go! INFINITE POSSIBILITIES - This DIY project can be used for home decoration. You can use it on floors, walls, sofas, beds, and windows, and even use it as a seat cushion or a pet carpet. IDEAL GIFT - Make your own gifts to express your sincere blessings! You can put other things in the socks as a gift for children, parents, friends, or couples. DIMENSIONS - The length is 17 inches and the width is 12 inches. The great thing about a kit is that it's all there, with mesh canvas, drawing accessories, color cards, embroidery thread, and crochet, you can start right away!",https://www.grabie.cc/products/christmas-socks-diy-latch-hook-rug-kit?variant=42110813307133&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01lU0WQb1V6g3QfUC65___2208679182604-0-cib.jpg?v=1638169860,25.99 USD,in stock,new,7096,Crafts & Hobbies,"https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01IAgGKt1V6g3PhUoNs___2208679182604-0-cib.jpg?v=1638257699,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN011Amw3n1V6g3KBIEkY___2208679182604-0-cib.jpg?v=1638169860,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/19914286612_1833098393.jpg?v=1638169860,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01L7zlfC1V6g3Ms7Emh___2208679182604-0-cib.jpg?v=1638169860,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01ddd2bn1V6g3OXaLJe___2208679182604-0-cib.jpg?v=1638169860,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01czTh911V6g3Ih2JiT___2208679182604-0-cib.jpg?v=1638169860,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN019940jq1V6g3RARId8___2208679182604-0-cib.jpg?v=1638169860",,Grabie,,,,,,,
shopify_US_7114951327896_42182474236157,,"3 Pcs Liquid Mirror Chrome Marker Pens | Liquid Chrome Marker Set of 3 Special Ink with Mirror Effect Line 3pcs Silver Mirror Marker, Liquid Mirror","Our markers are available in three colors: silver, copper, and gold, each with fine bullet nibs, in small and large barrel sizes (3 sizes). These metallic colors truly pop on nearly all background colors. Your marks become permanent and water-resistant once dry, ensuring your work will stand the test of time. MIRROR CHROME FINISH - This marker's alcohol-based, highly pigmented unique ink provides a permanent high-gloss genuine mirror and a highly opaque appearance that a regular marker can never accomplish. SMOOTH FLOW WRITING - Designed with an innovative valve, the Ink flows smoothly with no pauses, leaks, or bleeding thanks to a unique valve. PERMANENT-LAST INK - Its highly pigmented solution is scratch-resistant, UV-resistant, and weatherproof. HIGH-COVERING FOR ANY SMOOTH SURFACES - Premium pigment paint in a convenient marker works on nearly any surface, both indoors and outdoors, including plastic, glass, metal, clay, foam, paper, and more.",https://www.grabie.cc/products/3-pcs-paint-metallic-marker-pens?variant=42182474236157&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01mkDy1n1pdv8TcBxc1__3075185384-0-cib.jpg?v=1639029018,29.99 USD,in stock,new,980,Art Supplies,"https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01DvvP0t20cVg5le0RS__1952606870-0-cib.jpg?v=1639029018,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01NSfU9J20cVfv4lvFD__1952606870-0-cib.jpg?v=1639029018,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/1636514603598.jpg?v=1639029018,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01uPTkzf20cVgqbHwNP__1952606870-0-cib.jpg?v=1639029018,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/1636513476540.jpg?v=1639029018,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01GQ5XuG20cVgpqeWlC__1952606870-0-cib.jpg?v=1639029018,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/333_17f96101-f36a-4ba0-9f15-b29878eab2ad.jpg?v=1639029018,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01z4qQK120cVgfq6F8H__1952606870-0-cib.jpg?v=1639029018",24.99 USD,Grabie,,,,,,,
shopify_US_7482912342269_42144617169149,,Cute Animal Photo Frame DIY Diamond Art Kit Unicorn,"Take the paint by number technique to a shimmering, new level with the cute animal photo frame DIY diamond art kit! This kit features everything you'll need to create a dazzling work of art. Easily grip the gems with the stylus and follow the instructions to create a beautiful piece of artwork that you'll be proud to display anywhere! HIGH QUALITY - The diamond painting kit of environmental protection material and never fade drills. Canvas is clear with symbols. The gems sparkling, strong third dimension so diamond painting kit vivid image. FASCINATING DECORATION - With patience and perseverance, you can create a wonderful work of art that will bring energy and vitality to your space. ENJOY DIY FUN - Diamond painting kits for adults/kids can enhance kids' hands-on ability, enrich adult space-time and be a good bonding experience for the family. These size diamond dots accessories are suitable for beginners and can be completed quickly. DIMENSIONS - The length is 9 inches and the width is 7.1 inches. The kit contains 1 - printed fabric piece, some colored rhinestones, 1 - stylus, 1 - craft tray, 1 - viscose, 1 - photo frame.",https://www.grabie.cc/products/cute-animal-photo-frame-diy-diamond-art-kit?variant=42144617169149&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/14546992413_641967293.jpg?v=1638357646,19.99 USD,in stock,new,504639,Crafts & Hobbies,"https://cdn.shopify.com/s/files/1/0575/3323/5352/products/14508132067_641967293.jpg?v=1638357447,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/14103968765_641967293.jpg?v=1638357646,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/14598836151_641967293.jpg?v=1638357646,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/14103986483_641967293.jpg?v=1638357646",,Grabie,,,,,,,
shopify_US_7115140858008_41281942880408,shopify_US_7115140858008,12 Pcs Gold and Silver Metallic Marker Pens | 12 Pcs Coloring Drawing Markers Metallic Paint Markers Pens Silver and Gold Metallic Permanent Markers,"Gorgeous and Outperform Metallic Marker Pens. These pigmented metallic markers are made from high quality water-based ink, opaque, strong coverage, odorless, fade-proof, quick-dry ink, acid free and non-toxic, ideal for rock painting, black paper, card making, scrapbooking, DIY photo album. Premium quality metallic markers with incredible vibrant and bold colors. SMOOTH FOR WRITING - High density fiber tips are smooth for writing, wear-resistant and not easy to damage. ADOPTED STREAMLINED DESIGN - These marker pens are ergonomic, comfortable and easy grip. QUICK DRYING - Based quick drying ink has bright color and it is not easy to fade. MULTIPURPOSE AND WIDELY APPLICATION - Excellent for marking decorations, greetings cards, gift tags, DIY photo albums, scrapbook and more.Writing on surface of paper, wood, textiles, plastic, ceramics, etc.",https://www.grabie.cc/products/12-pcs-gold-and-silver-metallic-marker-pens?variant=41281942880408&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN018JofXY1tv6P5wSAza__3342235963-0-cib.jpg?v=1638160178,19.99 USD,in stock,new,980,Art Supplies,"https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01OMZKEw1tv6P9YJ1iQ__3342235963-0-cib.jpg?v=1638160171,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01u8myvs1tv6P7G3yaq__3342235963-0-cib.jpg?v=1638160172,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01Cwh9cV1tv6P6zquAT__3342235963-0-cib.jpg?v=1638160173,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01etouc01tv6P5n22oZ__3342235963-0-cib.jpg?v=1638160174,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01iF7jfB1tv6P6zrExv__3342235963-0-cib.jpg?v=1638160175,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01vfzBc31tv6PBAfr35__3342235963-0-cib.jpg?v=1638160177,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/20211230-105256_04bf38ee-e732-4bfd-8244-27892c3abd5f.jpg?v=1640833174",15.99 USD,Grabie,,,,,,,
shopify_US_7491760193789_42169232982269,,Wax Seal Stamp Kit with 600 Pcs Wax Seal Bead,"The wax seal beads are made of good quality resin and wax, smokeless, odorless, non-toxic, melt easily, and dry quickly that are super easy to print. The letter wax seals are in 24 different colors, a great assortment to meet needs when doing your wax seals. 7 IN 1 WAX SEAL KIT - Our wax seal stamp kit includes 600 pieces sealing wax beads in 24 different colors, 1 x melting spoon, 1 x wax seal warmer, 4 x candles, 1 x life tree stamp, 10 x vintage envelopes, 2 x metal pens (gold & silver). WAX FOR STAMP SEALS - 2-3 wax beads usually gets you a complete seal. 4-5 beads are for larger seals, filling small nooks and crannies of an uneven. surface, or if you want a thicker seal without pressing down hard. EASY TO USE & CLEAN - Each color has a separate compartment, and the different colors don't mix together and won't be lost. The spoon can simply be wiped clean with a napkin while it is still hot. The sealing wax melts easily and dries quickly to save your efforts. A must-have item for a seal stamp lover. WIDE OCCASIONS - The wax stamps for letter sealing is perfect for making Christmas letters, wedding invitations, thank you cards, penpal supplies, retro letters, manuscripts, envelopes, parcels, greeting cards, crafts, gifts sealing, wine sealing, tea, or a cosmetics packaging, party invitations, and other craft projects.",https://www.grabie.cc/products/wax-seal-stamp-kit-with-600-pcs-wax-seal-bead?variant=42169232982269&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/1CN01TPfcVQ26Cl4Ma9jhH__2201275057626-0-cib.jpg?v=1638788068,35.99 USD,in stock,new,0,Crafts & Hobbies,"https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01HFGsPs26Cl3spXP8T__2201275057626-0-cib.jpg?v=1638949739,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01v6jnSY26Cl3pyDroh__2201275057626-0-cib.jpg?v=1638949739,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/23330645263_1434583875.jpg?v=1638949739,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/81bNB5UQKxL._AC_SX522.jpg?v=1638949739,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/81R935v9RKL._AC_SX679.jpg?v=1638949739",,Grabie,,,,,,,
